ID,Comment,Brand,Platform,Sentiment,Theme,Date
994,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,New Collection,2024-11-10
995,Bad experience with the website. Very slow.,Sana Safinaz,Instagram,Negative,Sustainability,2024-06-15
996,"The collection looks okay, nothing special.",Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-04-03
997,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Delivery Experience,2024-10-25
998,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Customer Service,2024-09-11
999,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Sale,2024-08-04
1000,Loved the new collection! Absolutely stunning.,Sapphire,Instagram,Positive,Sale,2024-01-22
1001,Disappointed with the delivery delay.,Khaadi,Twitter,Negative,New Collection,2024-07-29
1002,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-07-06
1003,Bad experience with the website. Very slow.,Sapphire,Facebook,Negative,Customer Service,2024-10-13
1004,Great quality and beautiful designs.,Alkaram,Twitter,Positive,Delivery Experience,2024-01-14
1005,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sale,2024-12-01
1006,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Sale,2024-12-04
1007,"Poor fabric quality, not worth the price.",Alkaram,Facebook,Negative,Sale,2024-05-23
1008,Appreciate the sustainable packaging. Well done!,Alkaram,Facebook,Positive,Sale,2024-10-12
1009,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,New Collection,2024-05-19
1010,Had a decent shopping experience.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-12-15
1011,"Poor fabric quality, not worth the price.",Gul Ahmed,Twitter,Negative,New Collection,2024-10-15
1012,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Sustainability,2024-01-08
1013,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Customer Service,2024-10-19
1014,Very happy with the purchase. Will shop again!,Sana Safinaz,Instagram,Positive,Sustainability,2024-02-29
1015,Appreciate the sustainable packaging. Well done!,Alkaram,Facebook,Positive,Sale,2024-09-19
1016,Colors seem different from pictures.,Sana Safinaz,Instagram,Neutral,Sustainability,2024-02-27
1017,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,Customer Service,2024-07-06
1018,Bad experience with the website. Very slow.,Khaadi,Instagram,Negative,Sale,2024-03-25
1019,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Sale,2024-07-08
1020,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Sustainability,2024-03-11
1021,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Delivery Experience,2024-11-01
1022,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Customer Service,2024-02-26
1023,"The collection looks okay, nothing special.",Sana Safinaz,Facebook,Neutral,Sustainability,2024-06-14
1024,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,Sustainability,2024-08-01
1025,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,Customer Service,2024-06-14
1026,Excellent customer service. Highly recommended.,Alkaram,Facebook,Positive,Sustainability,2024-11-11
1027,"Delivery was on time, average service.",Alkaram,Instagram,Neutral,Delivery Experience,2024-01-04
1028,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Delivery Experience,2024-10-09
1029,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Customer Service,2024-09-11
1030,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,Delivery Experience,2024-03-28
1031,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Sale,2024-05-21
1032,Bad experience with the website. Very slow.,Khaadi,Facebook,Negative,Sale,2024-02-06
1033,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Sale,2024-01-13
1034,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,Delivery Experience,2024-12-30
1035,Prices are a bit high compared to last year.,Alkaram,Twitter,Neutral,Sale,2024-08-22
1036,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Sustainability,2024-03-20
1037,Very happy with the purchase. Will shop again!,Sapphire,Facebook,Positive,New Collection,2024-09-02
1038,Had a decent shopping experience.,Sapphire,Twitter,Neutral,Customer Service,2024-10-31
1039,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,New Collection,2024-08-08
1040,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Sustainability,2024-02-29
1041,Had a decent shopping experience.,Sapphire,Instagram,Neutral,New Collection,2024-07-30
1042,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,New Collection,2024-12-30
1043,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Sale,2024-06-27
1044,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Delivery Experience,2024-10-24
1045,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,New Collection,2024-10-13
1046,Great quality and beautiful designs.,Sana Safinaz,Instagram,Positive,Sale,2024-09-24
1047,Received a wrong item and no response to complaint.,Gul Ahmed,Twitter,Negative,Sustainability,2024-04-30
1048,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,Sustainability,2024-03-05
1049,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Sale,2024-05-18
1050,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Sustainability,2024-04-23
1051,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Delivery Experience,2024-01-19
1052,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,Sale,2024-07-21
1053,Had a decent shopping experience.,Gul Ahmed,Twitter,Neutral,Sustainability,2024-03-30
1054,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Customer Service,2024-06-14
1055,Customer service was unhelpful.,Khaadi,Facebook,Negative,Sustainability,2024-10-30
1056,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,Delivery Experience,2024-08-02
1057,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Delivery Experience,2024-08-01
1058,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Sustainability,2024-10-25
1059,Had a decent shopping experience.,Alkaram,Facebook,Neutral,Customer Service,2024-07-08
1060,Prices are a bit high compared to last year.,Khaadi,Instagram,Neutral,Delivery Experience,2024-08-11
1061,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Delivery Experience,2024-09-26
1062,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sale,2024-08-06
1063,Excellent customer service. Highly recommended.,Alkaram,Twitter,Positive,Delivery Experience,2024-07-08
1064,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Customer Service,2024-04-30
1065,Bad experience with the website. Very slow.,Khaadi,Twitter,Negative,Delivery Experience,2024-05-29
1066,Customer service was unhelpful.,Khaadi,Facebook,Negative,Delivery Experience,2024-08-11
1067,Received a wrong item and no response to complaint.,Khaadi,Instagram,Negative,Delivery Experience,2024-06-04
1068,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Customer Service,2024-08-26
1069,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Customer Service,2024-07-03
1070,"Delivery was on time, average service.",Gul Ahmed,Twitter,Neutral,Customer Service,2024-11-23
1071,Customer service was unhelpful.,Sapphire,Twitter,Negative,Customer Service,2024-07-09
1072,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,New Collection,2024-10-04
1073,"Poor fabric quality, not worth the price.",Sapphire,Facebook,Negative,Sustainability,2024-10-18
1074,Prices are a bit high compared to last year.,Alkaram,Facebook,Neutral,New Collection,2024-10-29
1075,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Customer Service,2024-11-17
1076,Had a decent shopping experience.,Gul Ahmed,Facebook,Neutral,Customer Service,2024-01-08
1077,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Sustainability,2024-08-05
1078,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,New Collection,2024-08-11
1079,Customer service was unhelpful.,Alkaram,Facebook,Negative,New Collection,2024-02-07
1080,Bad experience with the website. Very slow.,Sapphire,Instagram,Negative,Sustainability,2024-08-10
1081,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Sustainability,2024-06-22
1082,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Delivery Experience,2024-07-31
1083,Customer service was unhelpful.,Khaadi,Instagram,Negative,Sale,2024-03-09
1084,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Sustainability,2024-04-25
1085,Very happy with the purchase. Will shop again!,Sapphire,Facebook,Positive,Sale,2024-03-08
1086,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Customer Service,2024-04-25
1087,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,New Collection,2024-11-06
1088,Loved the new collection! Absolutely stunning.,Sapphire,Twitter,Positive,Delivery Experience,2024-08-23
1089,Loved the new collection! Absolutely stunning.,Sana Safinaz,Twitter,Positive,Customer Service,2024-10-12
1090,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Sustainability,2024-11-24
1091,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-12-30
1092,Customer service was unhelpful.,Sapphire,Facebook,Negative,Sustainability,2024-10-30
1093,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,Customer Service,2024-02-29
1094,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Delivery Experience,2024-05-02
1095,Customer service was unhelpful.,Sana Safinaz,Instagram,Negative,Sale,2024-09-15
1096,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,Customer Service,2024-10-21
1097,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,Sustainability,2024-06-05
1098,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Sale,2024-03-30
1099,"The collection looks okay, nothing special.",Sana Safinaz,Facebook,Neutral,Customer Service,2024-09-03
1100,Colors seem different from pictures.,Sana Safinaz,Twitter,Neutral,Sale,2024-12-18
1101,Appreciate the sustainable packaging. Well done!,Khaadi,Facebook,Positive,Delivery Experience,2024-10-08
1102,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,Sale,2024-06-06
1103,Had a decent shopping experience.,Sapphire,Instagram,Neutral,Sale,2024-11-27
1104,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Sustainability,2024-05-27
1105,Very happy with the purchase. Will shop again!,Alkaram,Facebook,Positive,Sale,2024-10-21
1106,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Sustainability,2024-07-22
1107,Had a decent shopping experience.,Sapphire,Instagram,Neutral,Delivery Experience,2024-11-18
1108,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,New Collection,2024-10-15
1109,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Delivery Experience,2024-10-19
1110,"The collection looks okay, nothing special.",Khaadi,Instagram,Neutral,Sale,2024-02-19
1111,"Delivery was on time, average service.",Gul Ahmed,Instagram,Neutral,New Collection,2024-06-23
1112,"Delivery was on time, average service.",Gul Ahmed,Twitter,Neutral,Sale,2024-04-04
1113,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,Sustainability,2024-11-11
1114,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Sustainability,2024-10-12
1115,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,New Collection,2024-06-14
1116,Great quality and beautiful designs.,Sapphire,Facebook,Positive,Delivery Experience,2024-02-17
1117,Bad experience with the website. Very slow.,Khaadi,Twitter,Negative,Sustainability,2024-08-06
1118,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,Delivery Experience,2024-11-17
1119,Had a decent shopping experience.,Gul Ahmed,Facebook,Neutral,Sale,2024-10-26
1120,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Sustainability,2024-04-10
1121,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sale,2024-03-22
1122,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Sale,2024-04-12
1123,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,Customer Service,2024-09-18
1124,Customer service was unhelpful.,Sapphire,Facebook,Negative,Delivery Experience,2024-06-23
1125,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,Customer Service,2024-09-28
1126,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Delivery Experience,2024-05-21
1127,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Customer Service,2024-09-19
1128,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,Sustainability,2024-11-15
1129,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,New Collection,2024-08-18
1130,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,Sustainability,2024-08-09
1131,Bad experience with the website. Very slow.,Khaadi,Twitter,Negative,Sale,2024-04-12
1132,Customer service was unhelpful.,Sapphire,Facebook,Negative,Sale,2024-10-26
1133,Customer service was unhelpful.,Khaadi,Twitter,Negative,Sustainability,2024-11-27
1134,Colors seem different from pictures.,Sana Safinaz,Twitter,Neutral,New Collection,2024-09-22
1135,Had a decent shopping experience.,Khaadi,Instagram,Neutral,Delivery Experience,2024-06-03
1136,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,Delivery Experience,2024-08-14
1137,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Sustainability,2024-12-03
1138,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Customer Service,2024-01-08
1139,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Twitter,Positive,Customer Service,2024-08-06
1140,Received a wrong item and no response to complaint.,Khaadi,Facebook,Negative,Sustainability,2024-08-20
1141,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,New Collection,2024-05-18
1142,Bad experience with the website. Very slow.,Khaadi,Facebook,Negative,Customer Service,2024-08-21
1143,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,Sustainability,2024-12-04
1144,Loved the new collection! Absolutely stunning.,Sapphire,Instagram,Positive,Customer Service,2024-02-10
1145,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Sustainability,2024-08-19
1146,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,Delivery Experience,2024-02-22
1147,Appreciate the sustainable packaging. Well done!,Sapphire,Facebook,Positive,Customer Service,2024-01-25
1148,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Sustainability,2024-10-02
1149,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Customer Service,2024-10-19
1150,Excellent customer service. Highly recommended.,Sapphire,Twitter,Positive,Delivery Experience,2024-08-27
1151,Bad experience with the website. Very slow.,Khaadi,Facebook,Negative,Sustainability,2024-11-17
1152,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sustainability,2024-02-29
1153,Received a wrong item and no response to complaint.,Gul Ahmed,Twitter,Negative,Customer Service,2024-01-06
1154,Disappointed with the delivery delay.,Khaadi,Twitter,Negative,Sustainability,2024-04-11
1155,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sale,2024-04-20
1156,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,Sustainability,2024-07-01
1157,Disappointed with the delivery delay.,Sapphire,Twitter,Negative,Sustainability,2024-07-30
1158,Great quality and beautiful designs.,Sapphire,Instagram,Positive,New Collection,2024-09-15
1159,Colors seem different from pictures.,Khaadi,Facebook,Neutral,New Collection,2024-11-29
1160,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,Customer Service,2024-01-16
1161,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,Sustainability,2024-07-22
1162,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Sustainability,2024-11-05
1163,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Sustainability,2024-01-26
1164,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,New Collection,2024-07-13
1165,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sale,2024-01-31
1166,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sustainability,2024-08-25
1167,"Poor fabric quality, not worth the price.",Alkaram,Facebook,Negative,Sale,2024-10-24
1168,Colors seem different from pictures.,Khaadi,Facebook,Neutral,New Collection,2024-09-10
1169,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,Sustainability,2024-02-14
1170,Excellent customer service. Highly recommended.,Khaadi,Instagram,Positive,Sustainability,2024-12-04
1171,Very happy with the purchase. Will shop again!,Sapphire,Instagram,Positive,Sustainability,2024-10-31
1172,Colors seem different from pictures.,Sapphire,Instagram,Neutral,Sale,2024-08-04
1173,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Sustainability,2024-09-10
1174,Disappointed with the delivery delay.,Gul Ahmed,Instagram,Negative,Customer Service,2024-01-27
1175,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,New Collection,2024-09-29
1176,Had a decent shopping experience.,Sana Safinaz,Instagram,Neutral,Sale,2024-02-26
1177,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Sustainability,2024-07-20
1178,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,Customer Service,2024-03-26
1179,Disappointed with the delivery delay.,Khaadi,Instagram,Negative,Sale,2024-02-14
1180,"The collection looks okay, nothing special.",Khaadi,Instagram,Neutral,Sustainability,2024-02-01
1181,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,Delivery Experience,2024-11-21
1182,Customer service was unhelpful.,Khaadi,Instagram,Negative,Customer Service,2024-02-07
1183,Colors seem different from pictures.,Gul Ahmed,Facebook,Neutral,Delivery Experience,2024-03-16
1184,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Sustainability,2024-05-13
1185,Disappointed with the delivery delay.,Khaadi,Facebook,Negative,Sustainability,2024-04-10
1186,Received a wrong item and no response to complaint.,Sana Safinaz,Instagram,Negative,Sustainability,2024-02-25
1187,Customer service was unhelpful.,Khaadi,Twitter,Negative,Sale,2024-11-09
1188,Great quality and beautiful designs.,Alkaram,Facebook,Positive,New Collection,2024-08-25
1189,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-06-28
1190,Colors seem different from pictures.,Sapphire,Facebook,Neutral,New Collection,2024-09-11
1191,Received a wrong item and no response to complaint.,Khaadi,Facebook,Negative,Sustainability,2024-07-31
1192,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,New Collection,2024-12-12
1193,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,New Collection,2024-10-05
1194,Very happy with the purchase. Will shop again!,Sana Safinaz,Instagram,Positive,Sustainability,2024-07-13
1195,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,Delivery Experience,2024-09-01
1196,Customer service was unhelpful.,Khaadi,Instagram,Negative,Delivery Experience,2024-07-20
1197,Colors seem different from pictures.,Gul Ahmed,Twitter,Neutral,Sale,2024-09-12
1198,Great quality and beautiful designs.,Sapphire,Instagram,Positive,Customer Service,2024-01-25
1199,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sustainability,2024-12-25
1200,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Customer Service,2024-12-04
1201,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,Sustainability,2024-07-09
1202,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,Sustainability,2024-09-02
1203,Disappointed with the delivery delay.,Gul Ahmed,Twitter,Negative,New Collection,2024-04-20
1204,Disappointed with the delivery delay.,Gul Ahmed,Instagram,Negative,Customer Service,2024-09-28
1205,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-12-01
1206,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,New Collection,2024-08-27
1207,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Sustainability,2024-06-05
1208,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,Sale,2024-03-03
1209,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,Sale,2024-12-27
1210,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,New Collection,2024-07-04
1211,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,Sustainability,2024-11-05
1212,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,New Collection,2024-04-06
1213,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-04-03
1214,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Customer Service,2024-12-30
1215,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,Sustainability,2024-02-15
1216,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,Customer Service,2024-08-23
1217,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,New Collection,2024-02-10
1218,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,New Collection,2024-05-10
1219,Disappointed with the delivery delay.,Khaadi,Instagram,Negative,Sustainability,2024-08-22
1220,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,New Collection,2024-04-14
1221,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Customer Service,2024-11-13
1222,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,Delivery Experience,2024-09-02
1223,Great quality and beautiful designs.,Sapphire,Facebook,Positive,Sale,2024-04-20
1224,Customer service was unhelpful.,Alkaram,Twitter,Negative,New Collection,2024-11-12
1225,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Delivery Experience,2024-03-01
1226,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Sale,2024-06-01
1227,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Sale,2024-04-19
1228,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,New Collection,2024-03-22
1229,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,Sustainability,2024-01-25
1230,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Sustainability,2024-03-19
1231,Had a decent shopping experience.,Khaadi,Twitter,Neutral,Sale,2024-04-02
1232,Disappointed with the delivery delay.,Khaadi,Twitter,Negative,Delivery Experience,2024-08-03
1233,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,New Collection,2024-07-31
1234,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,Customer Service,2024-09-12
1235,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,Sustainability,2024-08-16
1236,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Sale,2024-08-07
1237,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Customer Service,2024-07-09
1238,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,Delivery Experience,2024-04-18
1239,Excellent customer service. Highly recommended.,Alkaram,Facebook,Positive,Sustainability,2024-04-22
1240,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,New Collection,2024-04-27
1241,Colors seem different from pictures.,Khaadi,Instagram,Neutral,Sale,2024-06-25
1242,Great quality and beautiful designs.,Sana Safinaz,Instagram,Positive,Customer Service,2024-07-05
1243,Loved the new collection! Absolutely stunning.,Sana Safinaz,Instagram,Positive,Customer Service,2024-05-16
1244,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Sustainability,2024-07-17
1245,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-10-31
1246,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Sustainability,2024-01-16
1247,"Poor fabric quality, not worth the price.",Sapphire,Instagram,Negative,Delivery Experience,2024-03-31
1248,Disappointed with the delivery delay.,Sapphire,Instagram,Negative,Customer Service,2024-08-19
1249,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,New Collection,2024-09-12
1250,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,New Collection,2024-06-09
1251,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Customer Service,2024-07-02
1252,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,New Collection,2024-09-20
1253,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Sustainability,2024-07-01
1254,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-03-11
1255,Customer service was unhelpful.,Khaadi,Facebook,Negative,Delivery Experience,2024-08-08
1256,Excellent customer service. Highly recommended.,Sana Safinaz,Facebook,Positive,Customer Service,2024-10-19
1257,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,New Collection,2024-07-25
1258,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Sustainability,2024-08-04
1259,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Sale,2024-06-05
1260,"Poor fabric quality, not worth the price.",Sapphire,Instagram,Negative,Customer Service,2024-06-08
1261,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,New Collection,2024-08-21
1262,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Twitter,Positive,New Collection,2024-02-08
1263,Customer service was unhelpful.,Sana Safinaz,Instagram,Negative,Sale,2024-12-10
1264,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Sustainability,2024-10-14
1265,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Delivery Experience,2024-11-21
1266,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,Sustainability,2024-05-03
1267,Bad experience with the website. Very slow.,Khaadi,Instagram,Negative,Sustainability,2024-10-14
1268,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Sale,2024-10-02
1269,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Sustainability,2024-06-27
1270,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Delivery Experience,2024-04-02
1271,Prices are a bit high compared to last year.,Alkaram,Twitter,Neutral,Customer Service,2024-09-19
1272,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,Sustainability,2024-01-19
1273,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,Delivery Experience,2024-11-07
1274,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Customer Service,2024-04-02
1275,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Delivery Experience,2024-01-11
1276,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,New Collection,2024-01-06
1277,Had a decent shopping experience.,Sana Safinaz,Instagram,Neutral,New Collection,2024-03-07
1278,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Customer Service,2024-05-19
1279,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Sustainability,2024-04-14
1280,Appreciate the sustainable packaging. Well done!,Alkaram,Facebook,Positive,Customer Service,2024-09-06
1281,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Sustainability,2024-07-10
1282,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Delivery Experience,2024-02-19
1283,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Customer Service,2024-04-18
1284,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,New Collection,2024-03-18
1285,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Sustainability,2024-01-27
1286,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sustainability,2024-01-27
1287,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,Sustainability,2024-04-22
1288,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Sustainability,2024-03-31
